,Name,Processor,RAM,Operating System,Display Size,Warranty,Price,Rating,Brand,SSD,HDD,disk_drive,Ram,p_brand,Cores,processor_type,OS,display,touchscreen,graphic_card,Generation
0,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,16990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
1,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,33990,4.2,Lenovo,256,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
2,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,21990,4.1,ASUS,256,0,SSD,4,Intel,2,Celeron,Windows,14.0,No,No,0
3,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,34990,4.2,ASUS,512,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
4,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,37990,4.1,RedmiBook,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,No,11
5,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,39990,4.3,HP,512,0,SSD,8,Intel,3,i3,Windows,14.0,No,No,11
6,Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and L...,AMD Ryzen 3 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,32990,4.2,Lenovo,512,0,SSD,8,AMD,3,Ryzen 3,Windows,15.6,No,No,0
7,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15IAU7 Thin...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,93.01 cm (36.62 cm) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,39990,3.9,Lenovo,512,0,SSD,8,Intel,3,i3,Windows,36.62,No,No,12
9,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty (ITW),31990,4.1,acer,512,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
10,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,34990,4.2,Infinix,256,0,SSD,8,Intel,4,Celeron,Windows,15.6,No,No,11
11,Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,58990,4.1,Lenovo,512,0,SSD,16,Intel,5,i5,Windows,15.6,No,No,12
12,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,43990,4.3,ASUS,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,No,11
13,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,1 Year Domestic Warranty,35990,4.4,realme,256,0,SSD,8,Intel,3,i3,Windows,14.0,No,No,11
14,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,56490,4.2,HP,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,No,12
15,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graph...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,52990,4.0,Lenovo,1,1,Both,8,AMD,5,Ryzen 5,Windows,15.6,No,No,0
